600 3
69 52 15 
61 77 32 
39 50 49 
93 41 11 
24 71 44 
5 95 50 
77 47 10 
71 67 4 
65 66 45 
26 46 75 
39 8 30 
85 81 36 
79 31 93 
16 12 83 
84 78 3 
50 26 24 
62 76 28 
92 90 43 
38 73 22 
19 27 83 
29 50 92 
64 33 67 
13 2 56 
16 8 59 
22 26 33 
4 21 32 
8 70 21 
59 29 26 
34 45 10 
34 81 13 
68 78 34 
11 52 65 
78 6 52 
39 60 14 
97 17 24 
0 87 32 
38 18 17 
6 42 31 
80 30 14 
25 14 28 
24 66 34 
32 80 9 
16 15 93 
91 24 31 
80 25 59 
39 26 76 
1 66 61 
35 89 52 
28 29 2 
10 5 31 
13 97 94 
87 2 85 
81 58 43 
67 76 57 
33 19 4 
94 14 67 
31 24 66 
21 40 73 
12 94 42 
90 78 60 
56 19 67 
12 69 80 
57 44 62 
38 11 5 
27 45 84 
94 10 44 
69 50 17 
74 48 84 
89 49 37 
93 68 89 
41 76 30 
52 67 84 
80 68 13 
12 80 74 
56 20 40 
25 55 14 
92 82 31 
26 4 34 
15 72 66 
83 24 93 
36 29 23 
11 42 64 
92 63 26 
9 6 1 
23 68 69 
76 18 24 
9 78 21 
48 22 71 
34 19 99 
86 70 79 
34 19 56 
14 64 95 
12 18 50 
93 54 83 
78 6 42 
12 19 37 
3 52 57 
16 28 45 
50 73 56 
85 61 73 
61 73 76 
70 12 34 
81 88 85 
90 73 88 
60 58 36 
69 20 93 
41 74 56 
44 41 2 
60 17 53 
24 62 44 
65 49 50 
55 61 9 
61 41 62 
93 30 35 
63 72 83 
76 39 9 
79 95 51 
54 25 96 
79 29 99 
33 38 72 
41 69 54 
27 92 90 
13 88 42 
70 15 28 
6 93 30 
16 37 59 
44 57 52 
47 90 75 
94 27 37 
71 71 9 
72 54 38 
63 78 95 
61 26 51 
79 25 59 
84 47 50 
87 54 76 
61 21 57 
48 34 0 
77 48 19 
57 49 47 
87 17 45 
50 90 81 
27 47 71 
97 14 79 
7 43 61 
8 66 57 
35 12 76 
11 14 51 
9 36 87 
48 66 84 
68 44 21 
51 18 25 
63 23 45 
79 1 63 
43 75 79 
26 44 50 
6 1 37 
45 5 30 
26 59 13 
44 21 72 
30 39 19 
92 73 26 
59 0 83 
72 58 64 
24 76 78 
32 34 54 
3 91 61 
23 20 13 
25 8 30 
81 75 57 
51 60 37 
25 40 1 
62 14 92 
69 90 3 
83 90 10 
70 15 45 
55 0 98 
98 55 81 
7 52 30 
22 35 31 
73 31 92 
97 93 93 
18 69 60 
26 23 28 
29 49 44 
98 94 3 
10 63 85 
77 32 23 
25 49 26 
58 50 29 
0 60 21 
89 22 38 
21 14 57 
79 68 41 
13 59 22 
55 38 68 
52 66 64 
53 85 4 
4 39 3 
55 51 0 
89 43 51 
33 18 86 
61 58 49 
53 94 89 
55 82 96 
69 96 78 
43 9 15 
10 99 39 
85 73 64 
57 41 99 
76 7 53 
31 38 23 
18 90 93 
78 87 11 
43 59 12 
73 73 12 
64 95 72 
39 88 58 
27 82 23 
59 29 63 
34 63 72 
43 54 50 
27 12 78 
94 70 37 
86 45 60 
40 28 0 
23 99 41 
52 21 62 
83 8 67 
70 72 23 
39 93 16 
24 41 46 
95 63 42 
51 92 4 
35 89 18 
15 35 46 
75 42 23 
38 16 55 
51 84 59 
18 39 26 
74 96 90 
99 27 35 
37 31 91 
0 24 40 
97 26 9 
46 24 5 
55 98 83 
52 33 19 
48 86 0 
11 0 8 
60 81 53 
51 41 7 
81 57 73 
45 38 31 
67 44 74 
77 2 53 
23 66 73 
83 36 70 
10 77 30 
74 24 2 
36 28 3 
41 0 27 
85 84 64 
67 71 39 
93 3 31 
28 13 16 
45 67 93 
21 46 72 
85 4 88 
10 62 62 
60 47 61 
76 4 5 
77 38 7 
2 51 92 
81 26 74 
86 30 19 
23 90 78 
40 93 22 
57 28 11 
30 7 95 
12 47 85 
93 39 7 
30 80 79 
15 7 2 
5 99 99 
51 94 15 
29 40 20 
28 98 63 
75 43 58 
79 88 39 
99 21 77 
0 3 38 
73 38 10 
52 8 55 
33 4 42 
64 51 67 
58 38 5 
61 35 93 
87 5 83 
32 28 8 
24 23 52 
72 42 61 
90 76 41 
31 25 57 
46 68 27 
89 83 64 
21 27 26 
7 64 87 
86 94 62 
22 5 67 
0 59 8 
12 69 10 
90 5 49 
11 97 80 
90 27 47 
55 22 44 
64 29 14 
74 1 23 
0 74 42 
26 98 97 
62 0 99 
71 41 20 
70 38 69 
8 1 33 
35 34 47 
96 83 25 
65 82 52 
34 88 24 
23 21 37 
85 84 21 
72 89 11 
40 31 76 
69 66 35 
3 48 91 
50 63 80 
87 24 7 
63 68 92 
0 0 34 
65 78 35 
66 40 19 
80 30 59 
25 90 87 
12 75 71 
75 5 70 
23 70 26 
22 17 49 
52 96 81 
36 81 88 
58 93 17 
36 70 57 
96 12 45 
92 3 42 
16 88 61 
45 77 30 
73 58 45 
68 74 86 
87 50 12 
62 72 26 
21 98 88 
46 52 83 
63 12 56 
95 52 49 
24 47 68 
13 60 38 
73 5 4 
31 5 97 
29 59 1 
24 58 45 
97 39 48 
26 99 87 
12 53 40 
15 67 18 
68 46 0 
0 78 68 
48 4 63 
17 96 57 
30 75 53 
58 68 50 
56 11 68 
12 35 7 
62 86 70 
48 95 25 
59 90 74 
56 31 98 
49 73 35 
80 2 16 
75 82 43 
42 10 69 
25 95 48 
77 5 15 
39 78 81 
12 79 82 
82 85 84 
35 59 7 
75 37 33 
89 19 53 
74 21 7 
97 73 57 
65 52 68 
44 64 21 
80 17 61 
63 82 1 
76 51 76 
20 97 51 
9 34 0 
62 74 72 
40 2 86 
63 73 43 
32 33 57 
56 56 98 
6 5 63 
80 78 67 
82 23 1 
23 66 76 
97 71 53 
58 51 48 
16 12 96 
46 57 47 
7 33 73 
30 18 61 
76 45 26 
17 95 68 
62 91 25 
18 59 7 
84 86 32 
22 4 28 
14 40 75 
45 3 60 
58 9 64 
73 86 46 
60 25 34 
69 42 27 
56 79 79 
43 59 61 
18 53 29 
97 88 3 
37 88 98 
15 55 46 
29 73 72 
4 37 32 
43 52 96 
46 38 32 
36 35 72 
7 90 11 
88 5 90 
11 80 63 
15 8 60 
60 82 87 
94 59 55 
39 84 13 
49 7 55 
87 23 53 
84 44 46 
4 23 89 
17 70 13 
9 7 34 
70 40 7 
97 48 89 
98 51 1 
13 96 64 
63 11 2 
1 38 58 
90 87 78 
59 91 27 
70 41 90 
57 28 61 
23 49 12 
47 38 29 
18 97 1 
15 41 51 
79 43 94 
57 70 30 
10 89 21 
18 5 38 
58 24 78 
61 49 97 
70 76 22 
18 7 87 
27 27 94 
73 18 29 
76 52 70 
75 65 66 
31 35 18 
67 12 68 
13 79 85 
91 14 87 
30 43 99 
71 22 2 
48 97 30 
1 81 55 
69 44 72 
37 79 38 
5 1 56 
79 23 98 
59 91 55 
83 14 39 
83 28 34 
69 92 4 
91 44 85 
99 61 69 
63 34 91 
13 71 26 
18 88 95 
9 79 2 
22 37 85 
32 4 30 
81 72 7 
18 77 39 
16 21 88 
17 15 58 
37 34 93 
28 54 93 
8 2 85 
71 73 50 
